KO,ENG,JPN
아회 아트홀,Aheoi Art Hall,阿会アートホール
대구어린이회관 꾀꼬리극장,Daegu Children's Center Kkeoikkori Theater,大邱子供会館ウグイス劇場
영산대학교 해운대캠퍼스,Youngsan University Haeundae Campus,栄山大学校海雲台キャンパス
영진사이버대학 서울캠퍼스,Youngjin Cyber University Seoul Campus,ヨンジンサイバー大学ソウルキャンパス
예송갤러리,Yesong Gallery,礼松ギャラリー
예전아트홀,Yejeon Art Hall,昔のアートホール
우전소극장,Woojeon Small Theater,牛田小劇場
월성월드메르디앙도서관,Wolseong World Meridian Library,ウォルソンワールドメルディアン図書館
월성코오롱하늘채1단지도서관,Wolseong Kolon Haneulchae 1 Complex Map Library,ウォルソンコーロンハヌルチェ1団地図書館
유천포스코더샵마을문고도서관,Yuchun Posco The Sharp  Village Library,柳川ポスコザショップ村文庫図書館
장기동작은도서관,Janggi-dong Small Library,将棋洞小図書館
새마을마을문고대구서구지부작은도서관,Saemaul Village Bookstore Daegu Seo-gu Small Library,セマウル村文庫 大邱西区支部 小さな図書館
코오롱하늘채2단지 작은도서관,Kolon Haneulchae Complex 2 Small Library,コーロンハヌルチェ2団地 小さな図書館
파란마음동산문고,Paran Maeum Dongsan Bookstore,青い心の園文庫
하모니아아트홀,Harmonia Art Hall,ハーモニアアートホール
하빈면작은도서관,Habin-myeon Small Library,河浜面小図書館
한국폴리텍대학 남대구캠퍼스,Korea Polytechnic University Namdaegu Campus,韓国ポリテック大学南大邱キャンパス
한국폴리텍대학 대구캠퍼스,Korea Polytechnic University Daegu Campus,韓国ポリテック大学大邱キャンパス
한국폴리텍대학 영남융합기술캠퍼스,Korea Polytechnic University Yeongnam Integrated Technology Campus,韓国ポリテック大学嶺南融合技術キャンパス
한울림소극장,Hanwoolim Small Theater,ハンウルリム小劇場
화성그랜드함지원도서관,Hwaseong Grand HamJiwon Library,華城グランドハム支援図書館
화성시립 왕배푸른숲도서관,Hwaseong City Wangbae Pureun Forest Library,華城市立王培緑の森図書館
진천역화성파크리젠시도서관,Jincheon Station Hwaseong Park Regency Library,鎮川駅華城パークリージェンシー図書館
예술무대산,Yesulmudaesan,芸術舞台サン
cgv 광명역,CGV Gwangmyeong Station,cgv光明駅
CGV 동백,CGV Dongbaek,CGVトンベク
CGV 동탄,CGV Dongtan,CGV東灘
메가박스 동탄,Megabox Dongtan,メガボックス東灘
CGV 평촌,CGV Pyeongchon,CGV坪村
CGV 화정,CGV Hwajung,CGV花井
차의과학대학교,CHA University,チャ医科学大学校
양평 숲속의 미술공원C아트뮤지엄,Yangpyeong C Art Museum,楊平スプソク美術公園Cアートミュージアム
KBS 수원아트홀,KBS Suwon Art Hall,KBS水原アートホール
킨텍스,KINTEX,キンテックス
가톨릭대학교대학원,Catholic University of Korea Graduate School,カトリック大学大学院
가톨릭대학교 성심교정본관,Catholic University of Korea Songsim Campus Main Building,カトリック大学聖心校庭本館
가평현암농경유물박물관,Gapyeong Hyeonam Agricultural Museum,加平ヒョンアム農耕遺物博物館
감나무골작은도서관,Gamnamugol Small Library,カムナムミニ図書館
강남대학교,Gangnam University,江南大学校
경남대학교 경영대학원,Kyungnam University Business School,慶南大学校経営大学院
강변해태아파트 도서관,Gangbyeonhaetae Apartment Library,川辺ヘテアパート図書館
케이리즈갤러리,Kliz Gallery,ケイリーズギャラリー
갤러리와,Gallery Wa,ギャラリー瓦
경기과학기술대학교,Gyeonggi University of Science and Technology,京畿科学技術大学校
경기광주문예회관,Gyeonggi Gwangju Culture and Art Center,京畿道広州文芸会館
대진대학교박물관,Daejin University Museum,大真大学校博物館
경기대학교 수원캠퍼스,Kyonggi University Suwon Campus,京畿大学校水原キャンパス
세종국악당,Sejong Gugakdang,世宗国楽堂
경기과천교육도서관,Gyeonggi Gwacheon Library of Education,京畿果川教育図書館
경기성남교육도서관,Gyeonggi Seongnam Library of Education,京畿城南教育図書館
경기중앙교육도서관,Gyeonggi Central Library of Education,京畿中央教育図書館
경기아트센터,Gyeonggi Art Center,京畿アートセンター
경기아트센터야외극장,Gyeonggi Art Center Outdoor Theater,京畿アートセンター野外劇場
경기아트센터대극장,Gyeonggi Art Center Grand Theater,京畿アートセンター大劇場
유리섬박물관,Glass Island Museum,ユリソム博物館
경기북부시각장애인점자도서관,Gyeonggi Northern Braille Library,京畿北部視覚障害者点字図書館
경민대학교,Kyungmin University,慶旼大学校
경복대학교 남양주캠퍼스,Kyungbok University Namyangju Campus,景福宮大学南楊州キャンパス
경복대학교 포천캠퍼스,Gyeongbok University Pocheon Campus,京福大学校抱川キャンパス
가천대학교글로벌캠퍼스중앙도서관,Gachon University Global Campus Central Library,嘉泉大学グローバルキャンパス中央図書館
KAIST서울캠퍼스,KAIST Seoul Campus,KAISTソウルキャンパス
경희대학교 평화복지대학원,Kyung Hee University Graduate School of Peace and Welfare,慶熙大学校平和福祉大学院
고양시민속전시관,Goyang Civic Folk Museum,高陽市民俗展示館
고양시립 마두도서관,Goyang City Madu Library,高陽市立馬頭図書館
고양시립신원도서관,Goyang Municipal Shinwon Library,高陽市立新院図書館
고양시립아람누리도서관,Goyang Municipal Aramnuri Library,高陽市立アラムヌリ図書館
풍동도서관,Pungdong Library,楓洞図書館
고양시립한뫼도서관,Goyang Municipal Hanmoe Library,高陽市立ハンムェ図書館
고양시 문예회관,Goyang City Culture and Art Center,高陽市文芸会館
마두청소년수련관,Madu Youth Center,馬頭青少年修練館
고양아람누리,Goyang Aramnuri,高陽アラムヌリ
고양어울림누리 어울림극장,Goyang Eoulim Nuri Eoulim Theater,高陽オウルリムヌリ・ヌリオウリム劇場
고양 작은도서관,Goyang Small Library,高陽ミニ図書館
고양화장실전시관,Goyang Toilet Exhibition Hall,高陽トイレ展示館
공도새마을문고 청소년공부방,Gongdo Saemaeul Bookstore Youth Gongbubang,孔道セマウル文庫 青少年学習塾
과천시립문원도서관,Gwacheon Municipal Munwon Library,果川市立文原図書館
과천시문원동새마을문고,Gwacheon City Munwon-dong Saemaeul Bookstore,果川市文原洞セマウル文庫
과천시민회관 대극장,Gwacheon Citizens' Hall Grand Theater,果川市民会館大劇場
관산 작은도서관,Guanshan Small Library,クァンサンミニ図書館
광교홍재도서관,Gwanggyo Hongjae Library,光教弘斎図書館
광명시민회관,Gwangmyeong Citizens' Hall,光明市民会館
광명시중앙도서관 푸름이도서관,Gwangmyeong City Central Library Pureumi Library,光明市中央図書館プルミ図書館
광명시립철산도서관,Gwangmyeong  Municipal Cheolsan Library,光明市鉄山図書館
광명시평생학습원,Gwangmyeong City Lifelong Community Center,光明市生涯学習院
광명시립하안도서관,Gwangmyeong Municipal Haan Library,光明市立下安図書館
광주광역시립사직도서관,Gwangju Metropolitan City Municipal Sajik Library,光州広域市立社稷図書館
구리시교문도서관,Guri City Gyomun Library,九里市橋門洞図書館
구리시인창도서관,Guri City Inchang Library,九里市仁倉図書館
구세군사관대학원대학교,Salvation Army Graduate University for Officer Training,救世軍士官大学院大学校
국립과천과학관어울림홀,Gwacheon National Science Museum Eoulim Hall,国立果川科学館オウルリムホール
국립수목원 산림박물관,Korea National Arboretum Sallim Museum,国立樹木園森林博物館
한국복지대학교,Korea National University of Welfare,韓国福祉大学校
국방대학교,Korea National Defense University,国防大学校
제주국제대학교,Jeju International University,済州国際大学校
국제법률경영대학원대학교,TLBU Graduate Law School,国際法律経営大学院大学校
국제사이버대학교 서울학습관,Gukje Cyber University Seoul Learning Center,国際サイバー大学ソウル学習館
군포시 부곡도서관,Gunpo City Bugok Library,軍浦市富谷図書館
군포시당동도서관,Gunpo City Dangdong Library,軍浦市堂洞図書館
대야도서관,Daeya Library,大夜図書館
군포시립중앙도서관,Gunpo Municipal Central Library,軍浦市立 中央図書館
권선1동 새마을문고,Gwonseon 1-dong Saemaeul Bookstore,勧善1洞 セマウル文庫
글마루 작은도서관,Glmaru Small Library,グルマル小図書館
글향기도서실,Geulhyanggi Library,クルヒャンギ図書室
금호동새마을문고,Geumho-dong Saemaeul Bookstore,クムホドン セマウル文庫
기산미술관,Gisan Art Museum,キサン美術館
고양어울림누리 꽃메야외극장,Goyang Eoullim Nuri Kkotmae Outdoor Theater,高陽オウリムヌリ コッメ野外劇場
꿈나무가족도서관,Kkumnamu Family Library,クムナム家族図書館
구로 꿈나무어린이도서관,Guro Kkumnamu Children's Library,九老 クムナム子供図書館
꿈나무작은도서관,Kkumnamu Small Library,クムナム 小さな図書館
꿈누리작은도서관,Kkumnuri Small Library,クムヌリ 小さな図書館
나무와열매문고,Namuwayeolmae Bookstore,木と実 文庫
남부문예회관,Nambu Culture and Art Center,南部文芸会館
남양주시와부도서관,Namyangju City Wabu Library,南楊州市 瓦阜図書館
남양주시진건도서관,Namyangju City Jingeon Library,南楊州市 真乾図書館
진접푸른숲도서관,Jinjeop Pureunsup Library,榛接 プルンスプ図書館
퇴계원도서관,Toegyewon Library,退渓院図書館
남양주시평내도서관,Namyangju City Pyeongnae Library,南楊州市 坪內図書館
남양주시화도도서관,Namyangju City Hwado Library,南楊州市 和道図書館
넓은세상 작은도서관,Neolbeunsesang Small Library,広い世界 小さな図書館
녹양동작은도서관,Nokyang-dong Small Library,綠楊洞 小さな図書館
욕지농어촌공공도서관,Yokji Nongeochon Public Library,欲知 農漁村公共図書館
누리작은도서관,Nuri Small Library,ヌリ 小さな図書館
누에박물관,Silkworm Museum,蚕博物館
뉴코아소극장,Nyukoa Small Theater,ニューコア小劇場
늘사랑 문고,Neulsarang Bookstore,ヌルサラン文庫
늘푸른어린이도서관,Neulpureun Children's Library,いつも青い子供図書館
늘푸른작은도서관,Neulpureun Small Library,いつも青い小さな図書館
늘푸른작은도서관,Neulpureun Small Library,いつも青い小さな図書館
다사랑도서관,Dasarang Library,タサラン図書館
다사리도서관,Dasari Library,タサリ図書館
단국대학교 죽전캠퍼스석주선기념박물관,Dankook University Jukjeon Campus Seok Juseon Memorial Museum,檀国大学校 竹田キャンパス ソクジュソン記念博物館
단국대학교 죽전캠퍼스,Dankook University Jukjeon Campus,檀国大学校 竹田キャンパス
단비도서관,Danbi Library,タンビ図書館
안양예술인센터,Anyang Artist Center,安養芸術家センター
대안미술공간 소나무,Alternative Art Space Sonahmoo,テアン美術空間
대은작은도서관,Daeun Small Library,テウン 小さな図書館
대진대학교,Daejin University,大真大学校
대진대학교 법무행정대학원,Daejin University Graduate School of Law and Administration,大真大学校 法務行政大学院
수원시립대추골도서관,Suwon Daechugol Municipal Library,水原市立 テチュコル図書館
오설록 티 뮤지엄,Osulloc Tea Museum,オソルロック ティーミュージアム
덕진문고,Deokjin Bookstore,トクジン文庫
도란도란작은도서관,Dorandoran Small Library,トランドラン 小さな図書館
도심광장 지혜의 등대,Dosimgwangjang Jihyeui Deungdae,都心広場 知恵の灯台
동남보건대학교,Dongnam University of Health,東南保健大学校
동서울대학교,Dong Seoul National University,東ソウル大学校
동아에코빌아파트문고,Dong-A Eco-Ville Apartment Library,トンアエコビルアパート文庫
동원대학교,Dongwon University,東元大学校
평택시립 배다리도서관,Pyeongtaek Baedari Municipal Library,平沢市立 ペダリ図書館
두물워크샵,Doomul Workshop,トゥムルワークショップ
화성시립 두빛나래어린이도서관,Hwaseong Municipal Dubitnarae Children's Library,華城市立 トゥビッナレ子供図書館
두원공과대학교 안성캠퍼스,Doowon University of Technology Anseong Campus,斗源工科大学 安城キャンパス
꿈의숲아트센터 드림갤러리,Kkumuisup Art Center Dream Gallery,夢の森アートセンター ドリームギャラリー
롯데시네마 병점,Lotte Cinema Byeongjeom Location,ロッテシネマ 餅店
롯데시네마센트럴락(안산),Lotte Cinema Central Rock (Ansan) Location,ロッテシネマ セントラルロック 安山
롯데시네마 송탄,Lotte Cinema Songtan Location,ロッテシネマ 松炭
롯데시네마 안산,Lotte Cinema Ansan Location,ロッテシネマ 安山
마나스아트센터,Manas Art Center,マナスアートセンター
만해기념관,Manhae Memorial Hall,万海記念館
진주청동기문화박물관,Jinju Bronze Age Museum,晋州 青銅器文化博物館
맑은샘문고 작은도서관,Malgeunsaem Bookstore Small Library,マルグンセム文庫 小さな図書館
매탄1동 새마을문고,Maetan 1-dong Saemaeul Bookstore,梅灘1洞 セマウル文庫
매탄2동새마을문고,Maetan 2-dong Saemaeul Bookstore,梅灘2洞 セマウル文庫
매화문고,Maehwa Bookstore,梅花文庫
유리섬박물관 맥아트미술관,Glass Island Museum Mac Art Museum,ガラスの島博物館 マックアート美術館
메가박스 백석,Megabox Baekseok,メガボックス 白石
메가박스 부천스타필드시티,Megabox Bucheon Starfield City,メガボックス 富川スターフィールドシティ
새마을문고센터,Saemaul Bookstore Center,セマウル文庫センター
명지대학교 박물관,Myongji University Museum,明知大学 博物館
명지산생태전시관,Myeongjisan Ecological Exhibition Hall,明智山 生態展示館
명화극장,Myeonghwa Theater,名画劇場
숲속도서관,Supsok Library,スプソク図書館
무럭무럭도서관,Mureongmureok Library,すくすく図書館
먹갓교회문고,Meokgat Church Bookstore,モッガッ教会 文庫
물푸레 작은도서관,Mulpure Small Library,トネリコ  小さな図書館
한국만화박물관,Korea Manhwa Museum,韓国漫画博物館
미라클차일드어린이영어도서관,Miracle Child Children's English Library,ミラクルチャイルド 子供英語図書館
민들레어린이도서관,Mindeulle Children's Library,ミンドュレ子供図書館
민들레홀씨작은도서관,Mindeulleholssi Small Library,タンポポの胞子 小さな図書館
바른생협바로미도서관,Bareunsaenghyeopbaromi Library,パルン生協 パロミ図書館
반딧불이도서관,Banditburi Library,ホタル図書館
동탄복합문화센터반석아트홀,Dongtan Complex Cultural Center Banseok Art Hall,東灘複合文化センター 盤石アートホール
밤토실어린이작은도서관,Bamtosil Children's Small Library,パムトシル 子供 小さな図書館
배다골 테마파크고양민속박물관,Baedagol Theme Park Goyang Folk Museum,ペダゴルテーマパーク 高陽民俗博物館
배다리성냥마을박물관,Baedari Seongnyangmaeul Museum,ペダリ マッチマウル博物館
벧엘작은도서관,Bethel Small Library,ベテル 小さな図書館
고양어울림누리 별모래극장,Goyang Eoulim Nuri Byeolmorae Theater,高陽オウリムヌリ 星砂劇場
복사골문화센터 아트홀,Boksagol Cultural Center Art Hall,ポクサコル文化センター アートホール
복사꽃필무렵작은도서관,Boksakkotpilmuryeop Small Library,桃の花が咲く頃 小さな図書館
복지작은도서관,Bokji Small Library,福池 小さな図書館
부광어린이문고,Bukwang Children's Bookstore,富光 子供文庫
국립항공박물관,National Aeronautical Museum,国立航空博物館
부천대학교,Bucheon National University,富川大学校
부천물박물관,Bucheon Water Museum,富川 水の博物館
꿈빛도서관,Kkumbit Library,クムビッ図書館
부천시립심곡도서관,Bucheon Municipal Simgok Library,富川市立 深谷図書館
부천시립원미도서관,Bucheon Municipal Wonmi Library,富川市立 遠美図書館
부천시립한울빛도서관,Bucheon Municipal Hanulbit Library,富川市立 ハヌルビッ図書館
부천시민회관대공연장,Bucheon Citizens' Hall Grand Concert Hall,富川市民会館 大公演場
부천예술정보도서관 다감,Bucheon Art Information Library Dagam,富川芸術情報図書館 タガム
부천시립박물관,Bucheon Museum,富川市立博物館
자연생태박물관,Natural Eco Museum,自然生態博物館
북트리도서관인천구월센터,Book Tree Library Incheon Guwol Center,ブックツリー図書館  仁川九月センター
사과나무도서관,Sagwanamu Library,リンゴの木 図書館
사랑나무가족도서관,Sarangnamu Family Library,サランナム家族図書館
살림문고,Sallim Library,サルリム文庫
고양아람누리 새라새극장,Goyang Aramnuri Saerasae Theater,高陽アラムヌリ セラセ劇場
고등동 새마을문고,Godeung-dong Saemaeul Bookstore,高等洞 セマウル文庫
새마을문고중앙회부천시지부,Saemaul Bookstore Junganghoe Bucheon Location,セマウル文庫中央会 富川市支部
새생명문고,Saesaengmyeong Bookstore,セセンミョン文庫
새싹작은도서관,Saessak Small Library,セサク 小さな図書館
새하늘 작은도서관,Saehaneul Small Library,セハヌル 小さな図書館
화성시립 샘내작은도서관,Hwaseong Municipal Samnae Small Library,華城市立 セムネ 小さな図書館
샬롬문고,Syallom Bookstore,シャーロム文庫
서둔동새마을문고,Seodun-dong Saemaeul Bookstore,西屯洞 セマウル文庫
제부도모세마을 작은도서관,Jebudo Mosemaeul Small Library,済扶島モーセマウル 小さな図書館
서울사이버대학교분당캠퍼스,Seoul Cyber University Bundang Campus,ソウルサイバー大学校 盆唐キャンパス
서울신학대학교,Seoul Theological University,ソウル神学大学校
서울예술대학교,Seoul National University of Arts,ソウル芸術大学校
서정대학교,Seojeong University,瑞靖大学校
석수골작은도서관,Seoksugol Small Library,石手谷 小さな図書館
선화대새마을문고,Seonhwadae Saemaeul Bookstore,ソンファデ セマウル文庫
설악문고,Seorak Bookstore,雪岳文庫
성광교회문고,Seonggwang Church Library,ソングァン教会文庫
성남시구미도서관,Seongnam City Gumi Library,城南市九美図書館
성남아트센터,Seongnam Art Center,城南アートセンター
성남시 야외공연장,Seongnam City Outdoor Stage,城南市野外公演場
성남시 중원도서관,Seongnam City Jungwon Library,城南市中院図書館
성남시중원어린이도서관,Seongnam City Jungwon Children's Library,城南市中院子供図書館
성남아트센터 오페라하우스,Seongnam Art Center Opera House,城南アートセンターオペラハウス
성남아트센터 콘서트홀,Seongnam Art Center Concert Hall,城南アートセンターコンサートホール
성남큐브미술관,Seongnam Cube Museum of Art,城南キューブ美術館
성서침례대학원대학교,Biblical Baptist Theological Seminary,聖書バプテスト大学院大学
성은새마을문고,Seongeun Saemaeul Bookstore,ソンウンセマウル文庫
성호기념관,Seongho Memorial Hall,星湖記念館
세계사이버대학,World Cyber College,世界サイバー大学
세류2동새마을문고,Seryu 2-dong Saemaeul Bookstore,細柳2洞セマウル文庫
세류3동새마을문고,Seryu 3-dong Saemaeul Bookstore,細柳3洞セマウル文庫
세우는도서관,Seuneun Library,セウヌン図書館
소나무예술극장,Sonamu Art Theater,ソナム芸術劇場
우리소망문고,Urisomang Bookstore,ウリソマン文庫
소새울가족작은도서관,Sosaeulgajok Small Library,ソセウル家族小さな図書館
솔거아파트문고,Solgeoapateu Bookstore,ソルゴアパート文庫
솔방울작은도서관,Solbangul Small Library,ソルバンウル小さな図書館
송원도서관,Songwon Library,ソンウォン図書館
송죽동새마을문고,Songjuk-dong Saemaeul Bookstore,松竹洞セマウル文庫
송탄교회문고,Songtan Church Library,松炭教会文庫
수원가톨릭대학교,Suwon Catholic University,水原カトリック大学
인도래작은도서관,Indore Small Library,インドレ小さな図書館
수원과학대학교,Suwon Science College,水原科学大学
수원대학교,The University of Suwon,水原大学
수원시립선경도서관,Suwon Municipal Sunkyung Library,水原市立鮮京図書館
광교푸른숲도서관,Gwanggyo Pureunsup Library,光敎プルン森図書館
수원화성문화재단 수원야외음악당,Suwon Hwaseong Cultural Foundation Suwon Outdoor Concert Hall,水原華城文化財団水原野外音楽堂
수원여자대학교 인제캠퍼스,Suwon Women's University Inje Campus,水原女子大学仁济キャンパス
수택1동작은도서관,Sutaek 1-dong Small Library,水沢1洞小さな図書館
수택작은도서관,Sutaek Small Library,水沢小さな図書館
슬기샘어린이도서관,Seulgi Saem Children's Library,スルギセム子供図書館
포천시립가산도서관,Pocheon Municipal Gasan Library,抱川市立加山図書館
시흥시립군자도서관,Siheung Municipal Gunja Library,始興市立君子図書館
능곡도서관,Neunggok Library,陵谷図書館
매화도서관,Maehwa Library,梅花図書館
시흥역사자료전시관,Siheung History Exhibition Hall,始興歴史資料展示館
신구대학교,Shingu University,新丘大学
신북작은도서관,Sinbuk Small Library,新北小さな図書館
금성문고,Geumseong Bookstore,クムソン文庫
신원수선화아파트문고,Shinwon Suseonhwa Apartment Library,信元水仙花アパート文庫
실학박물관,The Museum of Silhak,実学博物館
실학박물관도서관,The Museum of Silhak Library,実学博物館図書館
아가페도서관,Agape Library,アガペー図書館
아가페문고,Agape Bookstore,アガペー文庫
고양아람누리 아람극장,Goyang Aram Nuri Aram Theater,高陽アラムヌリアラム劇場
아람터도서관,Aramteo Library,アラムト図書館
아름드리도서관,Areumdeuri Library,アルムドゥリ図書館
아신대학교,Asin University,亜神大学
아이다 에듀 어린이도서관,Aida Edu Children's Library,アイダエデュ子供図書館
아리랑도서관,Arirang Library,アリラン図書館
코엑스,COEX,コエックス
아튼빌 작은도서관,Ateunbil Small Library,アトゥンビル小さな図書館
부곡도서관,Bugok Library,釜谷図書館
안산다문화작은도서관,Ansan Multicultural Small Library,安山多文化小さな図書館
단원어린이도서관,Danwon Children's Library,檀園子供図書館
HJ제니스작은도서관,HJ Zenith Small Library,HJチェニス小さな図書館
감골도서관,Gamgol Library,カムゴル図書館
관산도서관,Gwansan Library,関山図書館
안산중앙도서관,Ansan Central Library,安山中央図書館
안성3.1운동기념관,Anseong 3.1 Movement Memorial Hall,安城3.1運動記念館
안성시립보개도서관,Anseong Municipal Bogae Library,安城市立宝蓋図書館
안성시립중앙도서관,Anseong Municipal Central Library,安城市立中央図書館
안양대학교 신학대학원,Anyang University Graduate School of Theology,安養大学神学大学院
안양시립비산도서관,Anyang Municipal Bisan Library,安養市立飛山図書館
안양시립만안도서관,Anyang Municipal Manan Library,安養市立万安図書館
벌말도서관,Beolmal Library,ポルマル図書館
안양시립석수도서관,Anyang Municipal Seoksu Library,安養市立石水図書館
안양시립평촌도서관,Anyang Municipal Pyeongchon Library,安養市立坪村図書館
안양아트센터,Anyang Art Center,安養アートセンター
안양박물관,Anyang Museum,安養博物館
야탑1동작은도서관,Yatap 1-Dong Small Library,野塔1洞小さな図書館
양산시립중앙도서관,Yangsan Municipal Central Library,梁山市立中央図書館
덕계도서관,Deokgye Library,徳渓図書館
양주문화예술회관,Yangju Culture and Arts Center,楊州文化芸術会館
양주시립회암사지박물관,Hoeamsaji Museum of Yangju City,楊州市立檜岩寺址博物館
양주희망도서관,Yangju Huimang Library,楊州希望図書館
양평곤충박물관,Yangpyeong Insect Museum,楊平昆虫博物館
양평친환경농업박물관,Sustainable Agricultural Museum of Yangpyeong,楊平エコ農業博物館
양평군립도서관,Yangpyeong Public Library,楊平郡立図書館
양평친환경농업박물관,Sustainable Agricultural Museum of Yangpyeong,楊平エコ農業博物館
어린이도서관꿈틀꿈틀문고,Children's Library Kkumteulkkumteul Bookstore,子供図書館クムトルクムトル文庫
동화초등학교동화나라어린이도서관,Donghwa Elementary School Donghwa Nara Children's Library,東禾小学校東禾ナラ子供図書館
다시 쓰는 세상 순환자원홍보관,Dasi Sseuneun Sesang Sunhwanjawonhongbogwan,再び使う世界循環資源広報館
어우재미술관,Eoujae Museum of Art,オウジェ美術館
고양어울림누리 어울림미술관,Goyang Eoulim Nuri Eoulim Museum of Art,高陽オウリムヌリ オウリム美術館
드림파크 어울림 1단지 문고,Dream Park Eoulim Complex 1 Bookstore,ドリームパークオウリム1団地文庫
용인시 평생학습관,Yongin City Lifelong Learning Center,龍仁市生涯学習館
여주대학교,Yeoju University,驪州大学校
여주박물관,Yeoju Museum,驪州博物館
